Term,Frequency_lower,Frequency
ABBYY FineReader,0,0
ANNIS,3,0
ATLAS.ti,19,0
Abbot,7,4
Academia.edu,11,4
Adobe After Effects,0,0
Adobe Flash,0,0
Adobe Illustrator,0,0
Adobe InDesign,0,0
Advene,24,0
Alpheios,2,0
Alveo,0,0
Annotation Studio,0,0
Annotorious,0,0
AntConc,17,0
Anthologize,0,0
Anvil,12,1
ArcGIS,43,0
Archive-It,4,0
AskSam,0,0
Audacity,17,2
AustESE,0,0
Basecamp,6,0
Beautiful Soup,0,0
Blacklight,2,0
Blender,13,0
Bokeh,0,0
Bookworm,4,1
Bootstrap,45,26
BuddyPress,1,0
CATMA,16,0
COBOL,4,0
CONTENTdm,15,0
CQPweb,0,0
Carto | CartoDB,0,0
Chart.js,0,0
Chrome,21,2
Chronos Timeline,0,0
CollateX,73,0
Collex,10,0
ColorBrewer,0,0
Commons In A Box,0,0
Confluence,23,22
Cytoscape,0,0
D3.js,6,5
DH Press,0,0
DSpace,4,0
Dataverse,6,0
Dedoose,3,0
DiRT Directory,0,0
Diva.js,0,0
Dropbox,22,2
Drupal,67,0
EATS,1,1
EEBO-TCP,95,0
ELAN,112,0
EVI-LINHD,0,0
EndNote,12,4
Evernote,2,0
Excel,66,12
Exhibit 3.0,0,0
FAIMS Mobile Platform,0,0
Fedora Commons,0,0
Finale,12,8
Firefox,56,0
Freebase,8,0
FromThePage,2,0
GAMS,6,0
GATE,37,29
Gamera,1,0
GapVis,3,0
GeoNames,11,0
GeoTemCo,0,0
Gephi,45,0
GitHub,201,4
Google Books,0,0
Google Docs,0,0
Google Drive,0,0
Google Maps,0,0
Google Ngram Viewer,0,0
Google Scholar,0,0
Graphviz,5,5
H-Net,66,0
HathiTrust,54,0
HyperImage,0,0
HyperPo,5,0
Hypothes.is,7,1
IRaMuTeQ,2,0
Icon,100,95
ImageJ,42,0
ImagePlot,65,16
Inkscape,2,0
IsaViz,0,0
Islandora,2,0
JGAAP,1,0
JavaScript,190,10
Jekyll,90,0
Joomla,2,0
Juxta,24,0
KORA,0,0
KWIC,30,1
Koha,0,0
LIWC | Linguistic Inquiry and Word Count,0,0
Leaflet,20,5
Lexomics,0,0
Lexos,2,1
LilyPond,0,0
LimeSurvey,0,0
LodLive,0,0
Lucene,2,0
MALLET,41,1
MAXQDA,8,0
Map Warper,0,0
Matlab,5,0
MediaWiki,10,0
Mediathread,6,0
Mendeley,6,0
MorphAdorner,2,0
Mukurtu CMS,0,0
MuseScore,0,0
Music Encoding Initiative,0,0
MySQL,37,1
NVivo,16,0
Natural Language Toolkit | NLTK,0,0
NeOn Toolkit,0,0
Neatline,24,0
Neo4j,8,5
NetDraw,0,0
NetworkX,7,1
NodeXL,0,0
Old Maps Online,0,0
Omeka,136,0
OmniPage,1,0
OntoViz,0,0
OpenLayers,5,0
OpenRefine,6,0
OpenStreetMap,4,0
Oral History Metadata Synchronizer,0,0
OxGarage,0,0
Palladio,65,0
Pandoc,10,3
Paper Machines,0,0
Perl,30,1
PhiloLine,0,0
PhiloLogic,18,2
Photogrammar,42,0
Pliny,349,0
PostgreSQL,11,0
Prefuse,0,0
Prism,16,5
Pro Tools,0,0
ProcessingJS,0,0
Project Quincy,0,0
Prolog,21,0
Protovis,0,0
Protégé,9,1
Pundit,1,1
PyDelta,0,0
Python,231,11
QGIS,34,0
RDF Gravity,0,0
RStudio,6,0
Recogito,6,0
RelFinder,0,0
RoSE,61,23
Ruby | Ruby on Rails,0,0
SARIT,0,0
Scripto,18,0
SemLens,0,0
Serendip,0,0
Serendip-o-matic,4,0
Sibelius,0,0
Skype,43,0
Slack,174,2
Solr,19,0
Spotify,99,0
StoryMapJS,4,0
SylvaDB,0,0
T-PEN,1,0
TAPoR,29,0
TEI Boilerplate,0,0
TILE,28,24
TRACER,7,6
TRAViz,1,0
TUSTEP,4,0
TXM,40,0
Tableau | Tableau Public,0,0
Tesseract,35,1
Tesserae,177,0
TextGrid,11,0
TextRazor,0,0
Textable,0,0
Textal,0,0
Textexture,0,0
Textual Communities,0,0
TileMill,0,0
Transana,0,0
Transkribus,20,0
Trello,11,0
Tropy,1,0
Tumblr,19,0
Twitter,437,23
TypeWright,15,0
UIMA,0,0
VARD | VARD 2,0,0
VIVO,14,4
VSim,2,0
Versioning Machine,0,0
VexFlow,0,0
Visual Browser,0,0
VisualEyes,0,0
Voyant Tools,0,0
Wavesurfer,0,0
WebLicht,0,0
Weka,17,0
Wiki Map Project,0,0
WordCruncher,0,0
WordHoard,92,0
WordPress,130,0
WordSmith,4,0
Wordle,3,0
WorldCat,15,0
YAGO,2,1
Zenodo,19,0
Zotero,99,0
arts-humanities.net,12,9
eLaborate,112,110
eXist-db,6,0
ediarum,0,0
ezlinavis,0,0
gFacet,0,0
igraph,0,0
jsLDA,0,0
music21,0,0
nodegoat,0,0
oXygen,12,3
stylo,22,14
tFacet,0,0
