commit.author.name,commit.author.date,stats.total,stats.additions,stats.deletions
Author1,2021-07-23T14:12:01Z,2,1,1
Author1,2021-07-02T18:19:38Z,2,1,1
Author1,2021-06-30T19:43:16Z,2,1,1
Author1,2021-06-30T19:15:00Z,1,1,0
Author1,2021-06-30T19:07:56Z,2,1,1
Author1,2021-06-30T19:05:38Z,828,0,828
Author1,2021-06-30T18:54:13Z,2653,2653,0
Author1,2021-06-30T18:53:26Z,842,824,18
Author1,2021-06-29T20:31:27Z,4,2,2
Author1,2021-06-29T19:58:15Z,5,3,2
Author1,2021-06-29T19:49:55Z,4,2,2
Author1,2021-06-15T20:18:05Z,1265,1050,215
Author1,2021-06-08T14:44:04Z,5,5,0
Author1,2021-06-08T14:39:41Z,2,1,1
Author1,2021-06-08T14:35:47Z,10,8,2
Author1,2021-06-08T14:24:28Z,2,1,1
Author1,2021-06-02T14:38:03Z,7,7,0
Author1,2021-06-02T14:16:03Z,21,21,0
Author1,2021-06-01T17:14:41Z,5,5,0
Author1,2021-06-01T16:40:31Z,14,12,2
Author1,2021-05-27T21:41:00Z,2,2,0
Author1,2021-05-27T21:35:59Z,0,0,0
Author1,2021-05-27T21:35:27Z,78,78,0
Author1,2021-05-27T21:35:12Z,3,2,1
Author1,2021-05-27T20:35:41Z,35,25,10
Author1,2021-05-27T20:09:38Z,12,4,8
Author2,2021-05-25T18:07:10Z,24,12,12
Author1,2021-05-23T21:45:28Z,39,18,21
Author1,2021-05-23T21:17:10Z,22,11,11
Author1,2021-05-23T21:03:23Z,8,3,5
Author1,2021-05-23T20:47:39Z,24,8,16
Author1,2021-05-23T20:36:40Z,1,1,0
Author1,2021-05-23T20:29:30Z,5,3,2
Author1,2021-05-23T20:11:03Z,14,6,8
Author2,2021-05-18T23:33:45Z,53,27,26
Author1,2021-05-05T22:52:20Z,2,1,1
Author1,2021-05-05T22:43:43Z,155,154,1
Author1,2021-05-05T21:21:48Z,93,90,3
Author1,2021-05-05T15:10:49Z,2,0,2
Author1,2021-05-04T14:59:30Z,51,29,22
Author1,2021-05-02T15:13:22Z,1,0,1
Author1,2021-05-02T15:12:47Z,106,100,6
Author1,2021-04-30T21:27:41Z,9,9,0
Author1,2021-04-30T21:15:52Z,58,46,12
Author1,2021-04-30T19:50:38Z,2,1,1
Author1,2021-04-30T17:16:06Z,2,1,1
Author1,2021-04-30T17:11:43Z,78,46,32
Author1,2021-04-29T21:52:36Z,81,57,24
Author1,2021-04-29T20:33:32Z,2,2,0
Author1,2021-04-29T20:09:46Z,18,14,4
Author1,2021-04-29T18:49:00Z,25,21,4
Author1,2021-04-29T18:19:12Z,1,1,0
Author1,2021-04-29T17:19:17Z,74,47,27
Author1,2021-04-28T22:53:53Z,30,20,10
Author1,2021-04-28T21:27:52Z,38,37,1
Author1,2021-04-26T21:19:42Z,16,5,11
Author1,2021-04-23T22:58:07Z,1,1,0
Author1,2021-04-23T22:25:04Z,67,51,16
Author1,2021-04-10T22:58:49Z,50,20,30
Author1,2021-04-10T22:15:01Z,9,9,0
Author1,2021-04-10T22:09:05Z,10,10,0
Author1,2021-04-10T19:40:29Z,10,10,0
Author1,2021-04-10T18:21:17Z,13,8,5
Author1,2021-04-10T18:08:14Z,17,11,6
Author1,2021-04-10T17:01:51Z,11,7,4
Author1,2021-04-10T16:44:37Z,15,14,1
Author1,2021-04-10T16:32:30Z,2,1,1
Author1,2021-04-08T20:51:24Z,12,12,0
Author1,2021-04-08T20:49:01Z,19,18,1
Author1,2021-04-07T19:46:34Z,1,1,0
Author1,2021-04-07T19:29:24Z,2,1,1
Author1,2021-04-07T19:26:03Z,1,1,0
Author1,2021-04-07T17:39:03Z,9,8,1
Author1,2021-04-07T17:27:23Z,5,4,1
Author1,2021-04-02T20:16:17Z,12,7,5
Author1,2021-04-02T18:08:39Z,19,18,1
Author1,2021-04-02T17:28:48Z,4,4,0
Author1,2021-04-02T17:15:08Z,2,1,1
Author1,2021-04-02T17:12:32Z,44,42,2
Author1,2021-03-11T23:13:44Z,4,2,2
Author1,2021-03-11T23:11:48Z,2,1,1
Author1,2021-03-11T22:59:18Z,616,353,263
Author2,2021-03-11T17:51:27Z,18,5,13
Author2,2021-03-11T17:25:31Z,243,135,108
Author2,2021-03-11T17:25:26Z,15,8,7
Author1,2021-03-10T23:57:42Z,1,1,0
Author1,2021-03-10T23:52:46Z,2,2,0
Author1,2021-03-10T23:47:41Z,2,0,2
Author1,2021-03-10T23:46:48Z,156,89,67
Author1,2021-03-10T23:13:41Z,37,25,12
Author1,2021-03-10T23:03:33Z,26,6,20
Author1,2021-03-10T22:48:37Z,6,3,3
Author1,2021-03-10T22:35:31Z,21,13,8
Author1,2021-03-10T22:06:28Z,4,2,2
Author2,2021-03-10T21:08:54Z,171,108,63
Author2,2021-03-10T21:04:55Z,65,34,31
Author1,2021-03-02T20:03:16Z,2,1,1
Author1,2021-03-02T20:00:58Z,4,2,2
Author1,2021-03-02T19:38:31Z,9,7,2
Author1,2021-03-02T19:26:00Z,5,3,2
Author1,2021-03-02T16:20:13Z,69,31,38
Author1,2021-03-01T21:18:18Z,73,62,11
Author1,2021-03-01T19:19:57Z,20,10,10
Author1,2021-03-01T16:47:31Z,10,2,8
Author2,2021-02-23T21:28:35Z,8,6,2
Author2,2021-02-23T14:45:00Z,72,37,35
Author2,2021-02-23T03:30:47Z,134,75,59
Author1,2021-02-18T21:38:36Z,630,428,202
Author1,2021-02-18T21:35:59Z,4,0,4
Author1,2021-02-18T21:34:31Z,7,5,2
Author1,2021-02-18T21:26:12Z,4,3,1
Author1,2021-02-18T16:58:48Z,6,3,3
Author2,2021-02-17T22:36:29Z,3,3,0
Author2,2021-02-17T22:09:03Z,30,16,14
Author2,2021-02-16T23:14:04Z,330,221,109
Author2,2021-02-09T16:04:49Z,231,123,108
Author1,2021-02-08T21:54:25Z,6,3,3
Author1,2021-02-08T21:49:49Z,9,7,2
Author1,2021-02-08T20:42:53Z,7,5,2
Author1,2021-02-05T22:22:51Z,43,22,21
Author1,2021-02-05T22:08:02Z,4,4,0
Author1,2021-02-05T22:00:44Z,8,8,0
Author1,2021-02-05T21:40:29Z,6,4,2
Author1,2021-02-05T21:25:05Z,4,2,2
Author1,2021-02-05T21:15:52Z,8,6,2
Author1,2021-02-04T21:05:48Z,144,104,40
Author1,2021-02-02T22:40:14Z,12,6,6
Author2,2021-02-02T19:53:15Z,0,0,0
Author2,2021-02-02T19:53:10Z,32,28,4
Author2,2021-02-02T19:52:18Z,18,7,11
Author1,2021-02-01T23:58:06Z,34,29,5
Author2,2021-01-27T16:57:29Z,167,120,47
Author2,2021-01-26T21:13:37Z,139,88,51
Author2,2021-01-26T16:46:42Z,14,6,8
Author2,2021-01-26T16:45:52Z,65,32,33
Author1,2021-01-14T22:37:47Z,4,2,2
Author1,2021-01-14T22:29:16Z,2,2,0
Author1,2021-01-14T22:26:25Z,10,3,7
Author1,2021-01-04T23:17:29Z,4,2,2
Author1,2021-01-04T22:43:22Z,23,18,5
Author1,2020-12-31T17:54:51Z,18,14,4
Author1,2020-12-31T17:15:05Z,17,17,0
Author1,2020-12-30T17:34:23Z,94,79,15
Author1,2020-12-30T17:31:31Z,2,1,1
Author1,2020-12-23T17:13:47Z,9,9,0
Author1,2020-12-23T16:53:53Z,21,17,4
Author1,2020-12-22T23:01:18Z,9,9,0
Author1,2020-12-22T22:55:34Z,49,41,8
Author1,2020-12-22T22:09:53Z,6,3,3
Author1,2020-12-22T21:45:22Z,2,1,1
Author2,2020-12-21T19:54:13Z,907,594,313
Author2,2020-12-21T19:53:34Z,4,4,0
Author2,2020-12-21T19:52:11Z,2,2,0
Author2,2020-12-21T19:50:09Z,2,1,1
Author2,2020-12-17T17:41:09Z,40,21,19
Author2,2020-12-16T23:00:15Z,125,81,44
Author2,2020-12-16T20:29:13Z,95,2,93
Author2,2020-12-16T20:08:59Z,487,320,167
Author2,2020-12-11T17:14:00Z,0,0,0
Author2,2020-12-11T17:13:56Z,271,175,96
Author1,2020-12-08T21:34:27Z,56,48,8
Author2,2020-12-08T16:14:41Z,271,136,135
Author2,2020-12-04T18:27:45Z,20,8,12
Author2,2020-12-03T21:37:53Z,140,139,1
Author1,2020-12-02T00:10:23Z,19,17,2
Author1,2020-12-01T23:09:28Z,39,32,7
Author1,2020-12-01T21:48:14Z,938,541,397
Author1,2020-12-01T21:45:29Z,1913,820,1093
Author1,2020-12-01T21:44:44Z,1913,820,1093
Author1,2020-12-01T21:43:32Z,1913,1093,820
Author1,2020-12-01T21:39:58Z,35,30,5
Author2,2020-12-01T21:19:13Z,3,1,2
Author2,2020-11-30T16:22:01Z,781,322,459
Author2,2020-11-24T23:43:05Z,87,78,9
Author2,2020-11-24T23:32:34Z,332,222,110
Author1,2020-11-24T23:04:42Z,82,78,4
Author2,2020-11-17T21:20:19Z,0,0,0
Author2,2020-11-17T21:20:15Z,182,166,16
Author1,2020-11-17T21:19:08Z,123,115,8
Author1,2020-11-13T17:25:34Z,8,4,4
Author1,2020-11-13T16:52:27Z,8,4,4
Author1,2020-11-12T23:25:58Z,47,41,6
Author1,2020-11-03T16:01:41Z,73,69,4
Author1,2020-10-25T20:58:33Z,7,7,0
Author1,2020-10-25T20:36:45Z,2,1,1
Author1,2020-10-24T22:33:27Z,16,11,5
Author1,2020-10-24T21:50:07Z,140,68,72
Author2,2020-10-20T23:23:09Z,989,516,473
Author2,2020-10-20T22:57:45Z,3,2,1
Author2,2020-10-20T20:35:11Z,68,35,33
Author2,2020-10-20T16:50:52Z,85,58,27
Author1,2020-10-20T15:25:53Z,9,6,3
Author1,2020-10-20T15:09:26Z,42,22,20
Author2,2020-10-20T01:24:33Z,700,542,158
Author1,2020-10-16T22:39:00Z,18,4,14
Author1,2020-10-16T22:10:55Z,36,14,22
Author1,2020-10-15T23:10:20Z,65,30,35
Author1,2020-10-15T01:21:12Z,628,68,560
Author1,2019-08-30T14:15:53Z,2,1,1
Author1,2019-08-30T14:13:05Z,2,1,1
Matthew Lincoln,2019-08-29T21:56:05Z,2,1,1
Author1,2018-03-31T21:40:01Z,1,1,0
Author1,2018-03-31T21:38:40Z,13,4,9
Author1,2018-01-23T19:51:02Z,5,4,1
Author1,2018-01-16T16:12:13Z,1143,0,1143
Author1,2018-01-15T19:25:47Z,175,114,61
Author1,2018-01-12T20:00:15Z,2,1,1
Author1,2018-01-12T19:16:03Z,63,52,11
Author1,2018-01-11T22:47:52Z,30,29,1
Author1,2018-01-11T20:29:04Z,23,16,7
Author1,2018-01-11T20:15:57Z,60,49,11
Author1,2018-01-11T18:49:25Z,28,26,2
Author1,2017-08-29T03:20:17Z,1,1,0
Author1,2017-08-29T03:17:01Z,4,3,1
Author1,2017-08-29T03:14:15Z,39,32,7
Author1,2017-08-10T03:12:41Z,57,42,15
Author1,2017-08-09T03:19:18Z,1728,1728,0
